"session_id","question","response"
"56b015c6-dd4e-11ef-a609-0242ac120003","Did you notice anything about the AI tool? (optional)
","No, I did not"
cc8c742e-dd4e-11ef-9101-0242ac120003,"Did you notice anything about the AI tool? (optional)
",yes
"4054d2e4-dd4e-11ef-a609-0242ac120003","Did you notice anything about the AI tool? (optional)
",It was accurate only where the choices were obviously marginalised.
dd7f0cc2-dd50-11ef-af32-0242ac120003,"Did you notice anything about the AI tool? (optional)
",I have noticed that the AI tool was not consistent with the decision of the applicant according to the role specifications.
e70151ba-dd50-11ef-b02c-0242ac120003,"Did you notice anything about the AI tool? (optional)
","what i noticed is that it is reliable and can be trusted a little bit it ,it somehow works exactly  like a human"
"49ac2680-dd53-11ef-b02c-0242ac120003","Did you notice anything about the AI tool? (optional)
",None.
"4eaad07a-dd51-11ef-a015-0242ac120003","Did you notice anything about the AI tool? (optional)
",no
b7bef22e-dd53-11ef-8bc0-0242ac120003,"Did you notice anything about the AI tool? (optional)
","The AI tool was sometimes not providing accurate information to check whether I can make decisions on my own or I am just relying fully on it, to make the decisions for me."
d520f362-dd53-11ef-9101-0242ac120003,"Did you notice anything about the AI tool? (optional)
",Yes
"1715ac42-dd57-11ef-b02c-0242ac120003","Did you notice anything about the AI tool? (optional)
",""
"5abafba4-dd58-11ef-9101-0242ac120003","Did you notice anything about the AI tool? (optional)
",The AI seemed to consider the educational background more and favored mostly the male candidates.
be18c084-dd56-11ef-b02c-0242ac120003,"Did you notice anything about the AI tool? (optional)
",Yes
a178e484-dd5d-11ef-b02c-0242ac120003,"Did you notice anything about the AI tool? (optional)
",It sometimes select wrong candidates 
"330a7900-dd5c-11ef-8bc0-0242ac120003","Did you notice anything about the AI tool? (optional)
",I noticed that it can perform effecient task just like a human can and i strongly believe that AI can do a better job without error
"83abeb00-dd5c-11ef-8c13-0242ac120003","Did you notice anything about the AI tool? (optional)
","Yes, it's reliable, one can put all trust on it"
"702da028-dd61-11ef-8b3e-0242ac120003","Did you notice anything about the AI tool? (optional)
",No.
e66761ce-dd62-11ef-af32-0242ac120003,"Did you notice anything about the AI tool? (optional)
",no i cant say i did
"931e101e-dd60-11ef-b02c-0242ac120003","Did you notice anything about the AI tool? (optional)
","AL WAS FOCUSING MORE ON REFERENCE INSTEAD OF THE COMPLETE CV , SOME SETTINGS SHOULD BE ADJUSTED"
a097b2ec-dd63-11ef-8b3e-0242ac120003,"Did you notice anything about the AI tool? (optional)
",The AI was unpredictable because it could recommend someone who is obviously less qualified than the other person on some cases but most of the time predict correctly. So it cannot be relied on entirely but to a large extend.
"4548290c-dd64-11ef-8bc0-0242ac120003","Did you notice anything about the AI tool? (optional)
",No
"50c88592-dd64-11ef-9101-0242ac120003","Did you notice anything about the AI tool? (optional)
",the AI works based on some predefine Data-set
a8541e56-dd65-11ef-af32-0242ac120003,"Did you notice anything about the AI tool? (optional)
",no
a489c55a-dd65-11ef-8bc0-0242ac120003,"Did you notice anything about the AI tool? (optional)
",It started off by choosing the same candidates as me but later on it chose the opposite to what I thought was the correct candidate to pick
ee705994-dd66-11ef-9db1-0242ac120003,"Did you notice anything about the AI tool? (optional)
",no
"0a2dc28c-dd69-11ef-aae8-0242ac120003","Did you notice anything about the AI tool? (optional)
",Nothing stood out particularly. 
"08b5979a-dd69-11ef-8bc0-0242ac120003","Did you notice anything about the AI tool? (optional)
",Sometimes I felt it was making deliberate contentious choices.
