"session_id","phase_number","phase_name","confidence"
"001b3308-de2f-11ef-a87b-0242ac120003",5,Post Phase,4
"001b3308-de2f-11ef-a87b-0242ac120003",3,Pre phase ,4
"001b3308-de2f-11ef-a87b-0242ac120003",4,Intervention Phase,4
"02105c18-dd6e-11ef-b02c-0242ac120003",4,Intervention Phase,4
"02105c18-dd6e-11ef-b02c-0242ac120003",5,Post Phase,4
"02105c18-dd6e-11ef-b02c-0242ac120003",3,Pre phase ,4
"035a84e4-dfb8-11ef-9db1-0242ac120003",5,Post Phase,5
"035a84e4-dfb8-11ef-9db1-0242ac120003",3,Pre phase ,4
"035a84e4-dfb8-11ef-9db1-0242ac120003",4,Intervention Phase,4
"0394b8f2-dfd2-11ef-82d1-0242ac120003",5,Post Phase,5
"0394b8f2-dfd2-11ef-82d1-0242ac120003",4,Intervention Phase,5
"0394b8f2-dfd2-11ef-82d1-0242ac120003",3,Pre phase ,5
"065bd84a-dfaa-11ef-9101-0242ac120003",5,Post Phase,5
"065bd84a-dfaa-11ef-9101-0242ac120003",4,Intervention Phase,5
"065bd84a-dfaa-11ef-9101-0242ac120003",3,Pre phase ,5
"072e3574-dfd2-11ef-8b3e-0242ac120003",4,Intervention Phase,4
"072e3574-dfd2-11ef-8b3e-0242ac120003",5,Post Phase,4
"072e3574-dfd2-11ef-8b3e-0242ac120003",3,Pre phase ,5
"07760398-dd4f-11ef-9101-0242ac120003",5,Post Phase,3
"07760398-dd4f-11ef-9101-0242ac120003",4,Intervention Phase,4
"07760398-dd4f-11ef-9101-0242ac120003",3,Pre phase ,4
"07fccb68-deed-11ef-a609-0242ac120003",5,Post Phase,5
"07fccb68-deed-11ef-a609-0242ac120003",3,Pre phase ,5
"07fccb68-deed-11ef-a609-0242ac120003",4,Intervention Phase,5
"08a3ef62-dfd6-11ef-af32-0242ac120003",4,Intervention Phase,4
"08a3ef62-dfd6-11ef-af32-0242ac120003",3,Pre phase ,3
"08a3ef62-dfd6-11ef-af32-0242ac120003",5,Post Phase,4
"08b5979a-dd69-11ef-8bc0-0242ac120003",4,Intervention Phase,4
"08b5979a-dd69-11ef-8bc0-0242ac120003",3,Pre phase ,4
